Number,Name,Position,Age,Height,Weight,Experience,College,Team,Side,Salary,Salary in Milions
23,Nickell Robey-Coleman,CB,26,68,178,5,USC,Rams,Defense,775000,0.775
26,Logan Ryan,CB,26,71,195,5,Rutgers,Titans,Defense,5000000,5
44,Donatello Brown,CB,26,73,190,0,Valdosta State,Packers,Defense,246177,0.246177
96,Martin Ifedi,DE,26,75,275,1,Memphis,Falcons,Defense,NA,NA
61,Kerry Hyder,DE,26,74,270,2,Texas Tech,Lions,Defense,NA,NA
92,Bronson Kaufusi,DE,26,78,285,2,BYU,Ravens,Defense,603500,0.6035
96,Shelby Harris,DE,26,74,290,3,Illinois State,Broncos,Defense,615000,0.615
98,Jamie Meder,DE,26,75,308,3,Ashland,Browns,Defense,615000,0.615
95,Ryan Russell,DE,26,77,275,3,Purdue,Buccaneers,Defense,615000,0.615
40,Chris McCain,DE,26,77,236,3,California,Chargers,Defense,615000,0.615
75,Xavier Cooper,DE,26,76,300,3,Washington State,Jets,Defense,325588,0.325588
51,Brandon Copeland,DE,26,75,263,3,Pennsylvania,Lions,Defense,NA,NA
96,Matt Longacre,DE,26,75,255,3,Northwest Missouri State,Rams,Defense,615000,0.615
94,Will Clarke,DE,26,78,275,4,West Virginia,Buccaneers,Defense,690000,0.69
78,Terrence Fede,DE,26,76,267,4,Marist,Dolphins,Defense,690000,0.69
72,Kerry Wynn,DE,26,77,264,4,Richmond,Giants,Defense,1797000,1.797
94,Kony Ealy,DE,26,76,275,4,Missouri,Jets,Defense,803660,0.80366
52,Khalil Mack,DE,26,75,250,4,Buffalo,Raiders,Defense,690000,0.69
96,Brent Urban,DE,26,79,300,4,Virginia,Ravens,Defense,690000,0.69
90,DaQuan Jones,DE,26,76,322,4,Penn State,Titans,Defense,1797000,1.797
92,William Gholston,DE,26,78,281,5,Michigan State,Buccaneers,Defense,3000000,3
93,Benson Mayowa,DE,26,75,265,5,Idaho,Cowboys,Defense,1500000,1.5
57,Alex Okafor,DE,26,76,261,5,Texas,Saints,Defense,935000,0.935
72,Olsen Pierre,DT,26,76,293,2,Miami,Cardinals,Defense,540000,0.54
96,Kaleb Eulls,DT,26,76,309,2,Mississippi State,Chargers,Defense,NA,NA
99,Robert Thomas,DT,26,73,331,2,Arkansas,Giants,Defense,540000,0.54
95,Rodney Gunter,DT,26,77,305,3,Delaware State,Cardinals,Defense,615000,0.615
94,Xavier Williams,DT,26,74,309,3,Northern Iowa,Cardinals,Defense,615000,0.615
